Run 1/3

Fold 1
Run 1, Fold 1, GSGD Epoch [64/100], Loss: 0.001028459519147873
Run 1, Fold 1, GSGD Epoch [65/100], Loss: 0.001009895815514028
Run 1, Fold 1, GSGD Epoch [66/100], Loss: 0.001015830202959478
Run 1, Fold 1, GSGD Epoch [67/100], Loss: 0.0010098566999658942
Run 1, Fold 1, GSGD Epoch [68/100], Loss: 0.0010456820018589497
Run 1, Fold 1, GSGD Epoch [69/100], Loss: 0.0010273384395986795
Run 1, Fold 1, GSGD Epoch [70/100], Loss: 0.0009980062022805214
Run 1, Fold 1, GSGD Epoch [71/100], Loss: 0.000998280942440033
Run 1, Fold 1, GSGD Epoch [72/100], Loss: 0.0010108491405844688
Run 1, Fold 1, GSGD Epoch [73/100], Loss: 0.0009901643497869372
Run 1, Fold 1, GSGD Epoch [74/100], Loss: 0.0010342360474169254
Run 1, Fold 1, GSGD Epoch [75/100], Loss: 0.0010042742360383272
Run 1, Fold 1, GSGD Epoch [76/100], Loss: 0.0009939555311575532
Run 1, Fold 1, GSGD Epoch [77/100], Loss: 0.0010014759609475732
Run 1, Fold 1, GSGD Epoch [78/100], Loss: 0.000987798674032092
Run 1, Fold 1, GSGD Epoch [79/100], Loss: 0.0009951533284038305
Run 1, Fold 1, GSGD Epoch [80/100], Loss: 0.0009842063300311565
Run 1, Fold 1, GSGD Epoch [81/100], Loss: 0.000997314229607582
Run 1, Fold 1, GSGD Epoch [82/100], Loss: 0.0010403756750747561
Run 1, Fold 1, GSGD Epoch [83/100], Loss: 0.0011383927194401622
Run 1, Fold 1, GSGD Epoch [84/100], Loss: 0.0010508452542126179
Run 1, Fold 1, GSGD Epoch [85/100], Loss: 0.0009922122117131948
Run 1, Fold 1, GSGD Epoch [86/100], Loss: 0.0010028801625594497
Run 1, Fold 1, GSGD Epoch [87/100], Loss: 0.0009998856112360954
Run 1, Fold 1, GSGD Epoch [88/100], Loss: 0.001021097181364894
Run 1, Fold 1, GSGD Epoch [89/100], Loss: 0.0009922333993017673
Run 1, Fold 1, GSGD Epoch [90/100], Loss: 0.0009946782374754548
Run 1, Fold 1, GSGD Epoch [91/100], Loss: 0.0010943218367174268
Run 1, Fold 1, GSGD Epoch [92/100], Loss: 0.0010661303531378508
Run 1, Fold 1, GSGD Epoch [93/100], Loss: 0.0011028184089809656
Run 1, Fold 1, GSGD Epoch [94/100], Loss: 0.0010446796659380198
Run 1, Fold 1, GSGD Epoch [95/100], Loss: 0.001001936150714755
Run 1, Fold 1, GSGD Epoch [96/100], Loss: 0.0010240039555355906
Run 1, Fold 1, GSGD Epoch [97/100], Loss: 0.0009862997103482485
Run 1, Fold 1, GSGD Epoch [98/100], Loss: 0.0009953517001122236
Run 1, Fold 1, GSGD Epoch [99/100], Loss: 0.0009872129885479808
Run 1, Fold 1, GSGD Epoch [100/100], Loss: 0.0009914565598592162
Fold 2
Run 1, Fold 2, GSGD Epoch [1/100], Loss: 0.041444819420576096
Run 1, Fold 2, GSGD Epoch [2/100], Loss: 0.007003507576882839
Run 1, Fold 2, GSGD Epoch [3/100], Loss: 0.014492543414235115
Run 1, Fold 2, GSGD Epoch [4/100], Loss: 0.025113066658377647
Run 1, Fold 2, GSGD Epoch [5/100], Loss: 0.006677017547190189
Run 1, Fold 2, GSGD Epoch [6/100], Loss: 0.007844449952244759
Run 1, Fold 2, GSGD Epoch [7/100], Loss: 0.006479944568127394
Run 1, Fold 2, GSGD Epoch [8/100], Loss: 0.010495309717953205
Run 1, Fold 2, GSGD Epoch [9/100], Loss: 0.012620882131159306
Run 1, Fold 2, GSGD Epoch [10/100], Loss: 0.009809504263103008
Run 1, Fold 2, GSGD Epoch [11/100], Loss: 0.009663025848567486
Run 1, Fold 2, GSGD Epoch [12/100], Loss: 0.015656672418117523
Run 1, Fold 2, GSGD Epoch [13/100], Loss: 0.009227932430803776
Run 1, Fold 2, GSGD Epoch [14/100], Loss: 0.004323969595134258
Run 1, Fold 2, GSGD Epoch [15/100], Loss: 0.001750778523273766
Run 1, Fold 2, GSGD Epoch [16/100], Loss: 0.001981273991987109
Run 1, Fold 2, GSGD Epoch [17/100], Loss: 0.0027039654087275267
Run 1, Fold 2, GSGD Epoch [18/100], Loss: 0.006410617846995592
Run 1, Fold 2, GSGD Epoch [19/100], Loss: 0.00295090745203197
Run 1, Fold 2, GSGD Epoch [20/100], Loss: 0.004895374644547701
Run 1, Fold 2, GSGD Epoch [21/100], Loss: 0.0020479962695389986
Run 1, Fold 2, GSGD Epoch [22/100], Loss: 0.0024529388174414635
Run 1, Fold 2, GSGD Epoch [23/100], Loss: 0.0013506936375051737
Run 1, Fold 2, GSGD Epoch [24/100], Loss: 0.0014599149581044912
Run 1, Fold 2, GSGD Epoch [25/100], Loss: 0.0016464462969452143
Run 1, Fold 2, GSGD Epoch [26/100], Loss: 0.0016097556799650192
Run 1, Fold 2, GSGD Epoch [27/100], Loss: 0.0012596177402883768
Run 1, Fold 2, GSGD Epoch [28/100], Loss: 0.0012901853770017624
Run 1, Fold 2, GSGD Epoch [29/100], Loss: 0.0018795878859236836
Run 1, Fold 2, GSGD Epoch [30/100], Loss: 0.0011585146421566606
Run 1, Fold 2, GSGD Epoch [31/100], Loss: 0.0015882756561040878
Run 1, Fold 2, GSGD Epoch [32/100], Loss: 0.0015717616770416498
Run 1, Fold 2, GSGD Epoch [33/100], Loss: 0.0012971709948033094
Run 1, Fold 2, GSGD Epoch [34/100], Loss: 0.002006931696087122
Run 1, Fold 2, GSGD Epoch [35/100], Loss: 0.0012293842155486345
Run 1, Fold 2, GSGD Epoch [36/100], Loss: 0.0021042078733444214
Run 1, Fold 2, GSGD Epoch [37/100], Loss: 0.0015514387050643563
Run 1, Fold 2, GSGD Epoch [38/100], Loss: 0.0013377238065004349
Run 1, Fold 2, GSGD Epoch [39/100], Loss: 0.0015443802112713456
Run 1, Fold 2, GSGD Epoch [40/100], Loss: 0.0012342558475211263
Run 1, Fold 2, GSGD Epoch [41/100], Loss: 0.0011960811680182815
Run 1, Fold 2, GSGD Epoch [42/100], Loss: 0.001818780554458499
Run 1, Fold 2, GSGD Epoch [43/100], Loss: 0.0011171563528478146
Run 1, Fold 2, GSGD Epoch [44/100], Loss: 0.0010802324395626783
Run 1, Fold 2, GSGD Epoch [45/100], Loss: 0.0018270000582560897
Run 1, Fold 2, GSGD Epoch [46/100], Loss: 0.0010307941120117903
Run 1, Fold 2, GSGD Epoch [47/100], Loss: 0.001241589430719614
Run 1, Fold 2, GSGD Epoch [48/100], Loss: 0.001376740401610732
Run 1, Fold 2, GSGD Epoch [49/100], Loss: 0.0011565842432901263
Run 1, Fold 2, GSGD Epoch [50/100], Loss: 0.001275359420105815
Run 1, Fold 2, GSGD Epoch [51/100], Loss: 0.0012613085564225912
Run 1, Fold 2, GSGD Epoch [52/100], Loss: 0.0011395578039810061
Run 1, Fold 2, GSGD Epoch [53/100], Loss: 0.0010643105488270521
Run 1, Fold 2, GSGD Epoch [54/100], Loss: 0.0010700449347496033
Run 1, Fold 2, GSGD Epoch [55/100], Loss: 0.0011517429957166314
Run 1, Fold 2, GSGD Epoch [56/100], Loss: 0.0012565858196467161
Run 1, Fold 2, GSGD Epoch [57/100], Loss: 0.0010924581438302994
Run 1, Fold 2, GSGD Epoch [58/100], Loss: 0.0011301263002678752
Run 1, Fold 2, GSGD Epoch [59/100], Loss: 0.0012382838176563382
Run 1, Fold 2, GSGD Epoch [60/100], Loss: 0.0011046509025618434
Run 1, Fold 2, GSGD Epoch [61/100], Loss: 0.0011063249548897147
Run 1, Fold 2, GSGD Epoch [62/100], Loss: 0.0011556558310985565
Run 1, Fold 2, GSGD Epoch [63/100], Loss: 0.0011246079811826348
Run 1, Fold 2, GSGD Epoch [64/100], Loss: 0.00109536899253726
Run 1, Fold 2, GSGD Epoch [65/100], Loss: 0.0010730073554441333
Run 1, Fold 2, GSGD Epoch [66/100], Loss: 0.001087590237148106
Run 1, Fold 2, GSGD Epoch [67/100], Loss: 0.0011027156142517924
Run 1, Fold 2, GSGD Epoch [68/100], Loss: 0.0010836371220648289
Run 1, Fold 2, GSGD Epoch [69/100], Loss: 0.001095118816010654
Run 1, Fold 2, GSGD Epoch [70/100], Loss: 0.0011187400668859482
Run 1, Fold 2, GSGD Epoch [71/100], Loss: 0.0010621084365993738
Run 1, Fold 2, GSGD Epoch [72/100], Loss: 0.0010535515611991286
Run 1, Fold 2, GSGD Epoch [73/100], Loss: 0.0011453097686171532
Run 1, Fold 2, GSGD Epoch [74/100], Loss: 0.0011419776128605008
Run 1, Fold 2, GSGD Epoch [75/100], Loss: 0.0011555569944903255
Run 1, Fold 2, GSGD Epoch [76/100], Loss: 0.0011484395945444703
Run 1, Fold 2, GSGD Epoch [77/100], Loss: 0.0011026905849575996
Run 1, Fold 2, GSGD Epoch [78/100], Loss: 0.001084596267901361
Run 1, Fold 2, GSGD Epoch [79/100], Loss: 0.0010692895157262683
Run 1, Fold 2, GSGD Epoch [80/100], Loss: 0.0010900960769504309
Run 1, Fold 2, GSGD Epoch [81/100], Loss: 0.001105921808630228
Run 1, Fold 2, GSGD Epoch [82/100], Loss: 0.0011333627626299858
Run 1, Fold 2, GSGD Epoch [83/100], Loss: 0.0010820856550708413
Run 1, Fold 2, GSGD Epoch [84/100], Loss: 0.001086778356693685
Run 1, Fold 2, GSGD Epoch [85/100], Loss: 0.00106614304240793
Run 1, Fold 2, GSGD Epoch [86/100], Loss: 0.0011294824071228504
Run 1, Fold 2, GSGD Epoch [87/100], Loss: 0.0011005805572494864
Run 1, Fold 2, GSGD Epoch [88/100], Loss: 0.001070759491994977
Run 1, Fold 2, GSGD Epoch [89/100], Loss: 0.0011056482326239347
Run 1, Fold 2, GSGD Epoch [90/100], Loss: 0.0010910116834565997
Run 1, Fold 2, GSGD Epoch [91/100], Loss: 0.0010964305838569999
Run 1, Fold 2, GSGD Epoch [92/100], Loss: 0.0010977811180055141
Run 1, Fold 2, GSGD Epoch [93/100], Loss: 0.001105029252357781
Run 1, Fold 2, GSGD Epoch [94/100], Loss: 0.0011096395319327712
Run 1, Fold 2, GSGD Epoch [95/100], Loss: 0.0010897723259404302
Run 1, Fold 2, GSGD Epoch [96/100], Loss: 0.0010952575830742717
Run 1, Fold 2, GSGD Epoch [97/100], Loss: 0.001096053747460246
Run 1, Fold 2, GSGD Epoch [98/100], Loss: 0.0011094470974057913
Run 1, Fold 2, GSGD Epoch [99/100], Loss: 0.001160071580670774
Run 1, Fold 2, GSGD Epoch [100/100], Loss: 0.0010719563579186797
Fold 3
Run 1, Fold 3, GSGD Epoch [1/100], Loss: 0.04574942961335182
Run 1, Fold 3, GSGD Epoch [2/100], Loss: 0.023651931434869766
Run 1, Fold 3, GSGD Epoch [3/100], Loss: 0.024664975702762604
Run 1, Fold 3, GSGD Epoch [4/100], Loss: 0.021049855276942253
Run 1, Fold 3, GSGD Epoch [5/100], Loss: 0.011609232053160667
Run 1, Fold 3, GSGD Epoch [6/100], Loss: 0.013335395604372025
Run 1, Fold 3, GSGD Epoch [7/100], Loss: 0.008813432417809963
Run 1, Fold 3, GSGD Epoch [8/100], Loss: 0.009797624312341213
Run 1, Fold 3, GSGD Epoch [9/100], Loss: 0.006509752944111824
Run 1, Fold 3, GSGD Epoch [10/100], Loss: 0.011514266952872276
Run 1, Fold 3, GSGD Epoch [11/100], Loss: 0.007615134585648775
Run 1, Fold 3, GSGD Epoch [12/100], Loss: 0.02548384852707386
Run 1, Fold 3, GSGD Epoch [13/100], Loss: 0.014309239573776722
Run 1, Fold 3, GSGD Epoch [14/100], Loss: 0.010864892974495888
Run 1, Fold 3, GSGD Epoch [15/100], Loss: 0.005085122771561146
Run 1, Fold 3, GSGD Epoch [16/100], Loss: 0.009848564863204956
Run 1, Fold 3, GSGD Epoch [17/100], Loss: 0.011848215945065022
Run 1, Fold 3, GSGD Epoch [18/100], Loss: 0.006038552150130272
Run 1, Fold 3, GSGD Epoch [19/100], Loss: 0.006713155657052994
Run 1, Fold 3, GSGD Epoch [20/100], Loss: 0.008414104580879211
Run 1, Fold 3, GSGD Epoch [21/100], Loss: 0.005631285719573498
Run 1, Fold 3, GSGD Epoch [22/100], Loss: 0.015134750865399837
Run 1, Fold 3, GSGD Epoch [23/100], Loss: 0.005850956775248051
Run 1, Fold 3, GSGD Epoch [24/100], Loss: 0.002573668723925948
Run 1, Fold 3, GSGD Epoch [25/100], Loss: 0.003784902859479189
Run 1, Fold 3, GSGD Epoch [26/100], Loss: 0.0037488483358174562
Run 1, Fold 3, GSGD Epoch [27/100], Loss: 0.0036579363513737917
Run 1, Fold 3, GSGD Epoch [28/100], Loss: 0.0021574832499027252
Run 1, Fold 3, GSGD Epoch [29/100], Loss: 0.0041948603466153145
Run 1, Fold 3, GSGD Epoch [30/100], Loss: 0.005403364077210426
Run 1, Fold 3, GSGD Epoch [31/100], Loss: 0.0035281626041978598
Run 1, Fold 3, GSGD Epoch [32/100], Loss: 0.0024052849039435387
Run 1, Fold 3, GSGD Epoch [33/100], Loss: 0.003475345205515623
Run 1, Fold 3, GSGD Epoch [34/100], Loss: 0.006627529393881559
Run 1, Fold 3, GSGD Epoch [35/100], Loss: 0.002461157040670514
Run 1, Fold 3, GSGD Epoch [36/100], Loss: 0.004324879962950945
Run 1, Fold 3, GSGD Epoch [37/100], Loss: 0.0021458917763084173
Run 1, Fold 3, GSGD Epoch [38/100], Loss: 0.0019388742512091994
Run 1, Fold 3, GSGD Epoch [39/100], Loss: 0.0030289015267044306
Run 1, Fold 3, GSGD Epoch [40/100], Loss: 0.0011510913027450442
Run 1, Fold 3, GSGD Epoch [41/100], Loss: 0.0020347856916487217
Run 1, Fold 3, GSGD Epoch [42/100], Loss: 0.001215576659888029
Run 1, Fold 3, GSGD Epoch [43/100], Loss: 0.0033235440496355295
Run 1, Fold 3, GSGD Epoch [44/100], Loss: 0.0011597620323300362
Run 1, Fold 3, GSGD Epoch [45/100], Loss: 0.0015156468143686652
Run 1, Fold 3, GSGD Epoch [46/100], Loss: 0.0025575426407158375
Run 1, Fold 3, GSGD Epoch [47/100], Loss: 0.001065133372321725
Run 1, Fold 3, GSGD Epoch [48/100], Loss: 0.0022822138853371143
Run 1, Fold 3, GSGD Epoch [49/100], Loss: 0.0014369473792612553
Run 1, Fold 3, GSGD Epoch [50/100], Loss: 0.0010242958087474108
Run 1, Fold 3, GSGD Epoch [51/100], Loss: 0.001847709296271205
Run 1, Fold 3, GSGD Epoch [52/100], Loss: 0.0010684087174013257
Run 1, Fold 3, GSGD Epoch [53/100], Loss: 0.001595043228007853
Run 1, Fold 3, GSGD Epoch [54/100], Loss: 0.0012283355463296175
Run 1, Fold 3, GSGD Epoch [55/100], Loss: 0.003560662269592285
Run 1, Fold 3, GSGD Epoch [56/100], Loss: 0.0013978458009660244
Run 1, Fold 3, GSGD Epoch [57/100], Loss: 0.0010324519826099277
Run 1, Fold 3, GSGD Epoch [58/100], Loss: 0.0011621654266491532
Run 1, Fold 3, GSGD Epoch [59/100], Loss: 0.0010773356771096587
Run 1, Fold 3, GSGD Epoch [60/100], Loss: 0.0011419133516028523
Run 1, Fold 3, GSGD Epoch [61/100], Loss: 0.0010452279821038246
Run 1, Fold 3, GSGD Epoch [62/100], Loss: 0.001025782315991819
Run 1, Fold 3, GSGD Epoch [63/100], Loss: 0.0010458444012328982
Run 1, Fold 3, GSGD Epoch [64/100], Loss: 0.0010872520506381989
Run 1, Fold 3, GSGD Epoch [65/100], Loss: 0.0012182366335764527
Run 1, Fold 3, GSGD Epoch [66/100], Loss: 0.0010705824242904782
Run 1, Fold 3, GSGD Epoch [67/100], Loss: 0.001068710582330823
Run 1, Fold 3, GSGD Epoch [68/100], Loss: 0.0010550341103225946
Run 1, Fold 3, GSGD Epoch [69/100], Loss: 0.0010621680412441492
Run 1, Fold 3, GSGD Epoch [70/100], Loss: 0.0010584879200905561
Run 1, Fold 3, GSGD Epoch [71/100], Loss: 0.0010510478168725967
Run 1, Fold 3, GSGD Epoch [72/100], Loss: 0.0010692523792386055
Run 1, Fold 3, GSGD Epoch [73/100], Loss: 0.0010696911485865712
Run 1, Fold 3, GSGD Epoch [74/100], Loss: 0.0010556296911090612
Run 1, Fold 3, GSGD Epoch [75/100], Loss: 0.0010791345266625285
Run 1, Fold 3, GSGD Epoch [76/100], Loss: 0.001023989636451006
Run 1, Fold 3, GSGD Epoch [77/100], Loss: 0.0011030323803424835
Run 1, Fold 3, GSGD Epoch [78/100], Loss: 0.0010385136120021343
Run 1, Fold 3, GSGD Epoch [79/100], Loss: 0.0010316966800019145
Run 1, Fold 3, GSGD Epoch [80/100], Loss: 0.00103936274535954
Run 1, Fold 3, GSGD Epoch [81/100], Loss: 0.001016550580970943
Run 1, Fold 3, GSGD Epoch [82/100], Loss: 0.0010303542949259281
Run 1, Fold 3, GSGD Epoch [83/100], Loss: 0.001067959237843752
Run 1, Fold 3, GSGD Epoch [84/100], Loss: 0.0010426960652694106
Run 1, Fold 3, GSGD Epoch [85/100], Loss: 0.0010294060921296477
Run 1, Fold 3, GSGD Epoch [86/100], Loss: 0.0010541749652475119
Run 1, Fold 3, GSGD Epoch [87/100], Loss: 0.001032808213494718
Run 1, Fold 3, GSGD Epoch [88/100], Loss: 0.0010135183110833168
Run 1, Fold 3, GSGD Epoch [89/100], Loss: 0.0011163491290062666
Run 1, Fold 3, GSGD Epoch [90/100], Loss: 0.0010282541625201702
Run 1, Fold 3, GSGD Epoch [91/100], Loss: 0.0010341702727600932
Run 1, Fold 3, GSGD Epoch [92/100], Loss: 0.0010747743071988225
Run 1, Fold 3, GSGD Epoch [93/100], Loss: 0.0010887621901929379
Run 1, Fold 3, GSGD Epoch [94/100], Loss: 0.0010259211994707584
Run 1, Fold 3, GSGD Epoch [95/100], Loss: 0.001113816862925887
Run 1, Fold 3, GSGD Epoch [96/100], Loss: 0.0010820593452081084
Run 1, Fold 3, GSGD Epoch [97/100], Loss: 0.0010343772592023015
Run 1, Fold 3, GSGD Epoch [98/100], Loss: 0.001047818223014474
Run 1, Fold 3, GSGD Epoch [99/100], Loss: 0.0010818451410159469
Run 1, Fold 3, GSGD Epoch [100/100], Loss: 0.0010117387864738703
Fold 4
Run 1, Fold 4, GSGD Epoch [1/100], Loss: 0.051660459488630295
Run 1, Fold 4, GSGD Epoch [2/100], Loss: 0.024113886058330536
Run 1, Fold 4, GSGD Epoch [3/100], Loss: 0.02555162087082863
Run 1, Fold 4, GSGD Epoch [4/100], Loss: 0.020104918628931046
Run 1, Fold 4, GSGD Epoch [5/100], Loss: 0.006828073877841234
Run 1, Fold 4, GSGD Epoch [6/100], Loss: 0.021633289754390717
Run 1, Fold 4, GSGD Epoch [7/100], Loss: 0.028761379420757294
Run 1, Fold 4, GSGD Epoch [8/100], Loss: 0.016961591318249702
Run 1, Fold 4, GSGD Epoch [9/100], Loss: 0.025853289291262627
Run 1, Fold 4, GSGD Epoch [10/100], Loss: 0.012335898354649544
Run 1, Fold 4, GSGD Epoch [11/100], Loss: 0.005618289578706026
Run 1, Fold 4, GSGD Epoch [12/100], Loss: 0.014993315562605858
Run 1, Fold 4, GSGD Epoch [13/100], Loss: 0.00630011223256588
Run 1, Fold 4, GSGD Epoch [14/100], Loss: 0.042260754853487015
Run 1, Fold 4, GSGD Epoch [15/100], Loss: 0.019890515133738518
Run 1, Fold 4, GSGD Epoch [16/100], Loss: 0.016777044162154198
Run 1, Fold 4, GSGD Epoch [17/100], Loss: 0.008389110676944256
Run 1, Fold 4, GSGD Epoch [18/100], Loss: 0.0054536135867238045
Run 1, Fold 4, GSGD Epoch [19/100], Loss: 0.011088770814239979
Run 1, Fold 4, GSGD Epoch [20/100], Loss: 0.0024981102906167507
Run 1, Fold 4, GSGD Epoch [21/100], Loss: 0.01063272263854742
Run 1, Fold 4, GSGD Epoch [22/100], Loss: 0.012864348478615284
Run 1, Fold 4, GSGD Epoch [23/100], Loss: 0.0024637605529278517
Run 1, Fold 4, GSGD Epoch [24/100], Loss: 0.0030301802325993776
Run 1, Fold 4, GSGD Epoch [25/100], Loss: 0.008885332383215427
Run 1, Fold 4, GSGD Epoch [26/100], Loss: 0.0050632343627512455
Run 1, Fold 4, GSGD Epoch [27/100], Loss: 0.0017205431358888745
Run 1, Fold 4, GSGD Epoch [28/100], Loss: 0.006919875741004944
Run 1, Fold 4, GSGD Epoch [29/100], Loss: 0.008090506307780743
Run 1, Fold 4, GSGD Epoch [30/100], Loss: 0.0034102166537195444
Run 1, Fold 4, GSGD Epoch [31/100], Loss: 0.003425752744078636
Run 1, Fold 4, GSGD Epoch [32/100], Loss: 0.004982141312211752
Run 1, Fold 4, GSGD Epoch [33/100], Loss: 0.002453460358083248
Run 1, Fold 4, GSGD Epoch [34/100], Loss: 0.0031252687331289053
Run 1, Fold 4, GSGD Epoch [35/100], Loss: 0.0028298215474933386
Run 1, Fold 4, GSGD Epoch [36/100], Loss: 0.0013282990548759699
Run 1, Fold 4, GSGD Epoch [37/100], Loss: 0.0030684901867061853
Run 1, Fold 4, GSGD Epoch [38/100], Loss: 0.0021912315860390663
Run 1, Fold 4, GSGD Epoch [39/100], Loss: 0.0015628035180270672
Run 1, Fold 4, GSGD Epoch [40/100], Loss: 0.0013972489396110177
Run 1, Fold 4, GSGD Epoch [41/100], Loss: 0.001675463281571865
Run 1, Fold 4, GSGD Epoch [42/100], Loss: 0.002196512185037136
Run 1, Fold 4, GSGD Epoch [43/100], Loss: 0.0013192398473620415
Run 1, Fold 4, GSGD Epoch [44/100], Loss: 0.0013845551293343306
Run 1, Fold 4, GSGD Epoch [45/100], Loss: 0.0015829120529815555
Run 1, Fold 4, GSGD Epoch [46/100], Loss: 0.0016701946733519435
Run 1, Fold 4, GSGD Epoch [47/100], Loss: 0.0014633587561547756
Run 1, Fold 4, GSGD Epoch [48/100], Loss: 0.0016517885960638523
Run 1, Fold 4, GSGD Epoch [49/100], Loss: 0.0018288821447640657
Run 1, Fold 4, GSGD Epoch [50/100], Loss: 0.0011219059815630317
Run 1, Fold 4, GSGD Epoch [51/100], Loss: 0.0013675964437425137
Run 1, Fold 4, GSGD Epoch [52/100], Loss: 0.0012808259343728423
Run 1, Fold 4, GSGD Epoch [53/100], Loss: 0.0011823253007605672
Run 1, Fold 4, GSGD Epoch [54/100], Loss: 0.0011933614732697606
Run 1, Fold 4, GSGD Epoch [55/100], Loss: 0.0012054214021191
Run 1, Fold 4, GSGD Epoch [56/100], Loss: 0.001085534575395286
Run 1, Fold 4, GSGD Epoch [57/100], Loss: 0.0013214864302426577
Run 1, Fold 4, GSGD Epoch [58/100], Loss: 0.0011609885841608047
Run 1, Fold 4, GSGD Epoch [59/100], Loss: 0.0011423942632973194
Run 1, Fold 4, GSGD Epoch [60/100], Loss: 0.001170214032754302
Run 1, Fold 4, GSGD Epoch [61/100], Loss: 0.001155742327682674
